id;qtdCommitContributions;qtdIssueContributions;qtdPullRequestContributions;qtdPullRequestReviewContributions;qtdRepositoriesWithContributedCommits;qtdRepositoriesWithContributedIssues;qtdRepositoriesWithContributedPullRequestReviews;qtdRepositoryContributions;qtdRepositoriesWithContributedPullRequests;qtdissue;qtdIssueClosed;qtdIssueOpen;QTdtoalComentsIssue;avgIssueComment;QtdIssueReaction;qtdIssueReactionHeatr;issueReactionthumbsUP;qtsIssueReactionHooray;qtdRepository;qtdTotalStars;avgQtdSTartRepository;QtdtotalWatchers;avgQtdWatchersRepository;qtdRepositoryLanguages;qtdPullRequests;qtdPullRequestsmergedAndClosed;qtdpullrequestsclosedandnotmerged;qtdpullrequestnotmergedandopen;sum(ncloc);avg(ncloc);avg(qtdBugs);sum(qtdBugs);sum(qtdCodeSmells);avg(qtdCodeSmells);avg(reliabilityRating);sum(qtdDuplicatedFiles);avg(qtdDuplicatedFiles);sum(commentLinesDensity);avg(commentLinesDensity);sum(fileComplexity);avg(fileComplexity);sum(qtdViolation);avg(manutenibilityRating);avg(securityRating);qtdFollowers;Expertise
703;9;1;0;0;5;1;0;2;0;9;9;0;28;3.1111;1;0;0;0;31;645;21;61;1.9677;70;37;27;4;6;18939;18939;125;125;229;229;5;5;5;21.79999924;21.79999924;5.199999809;5.199999809;354;1;1;15;5
719;173;2;0;1;5;1;1;2;0;100;58;42;154;1.54;14;0;14;0;100;649;6.49;159;1.59;237;138;89;6;43;41;41;0;0;0;0;1;0;0;19.60000038;19.60000038;2;2;0;1;1;43;1
728;955;74;171;333;46;22;28;18;30;100;67;33;219;2.19;0;0;0;0;100;4924;49;290;2.9;273;747;592;129;26;275;275;2;2;4;4;3;0;0;8.600000381;8.600000381;6.800000191;6.800000191;6;1;1;1264;3
736;214;17;23;2;10;13;2;15;8;100;96;4;387;3.87;32;0;28;0;35;510;15;47;1.3429;92;224;150;35;39;74;74;0;0;2;2;1;0;0;1.299999952;1.299999952;2.299999952;2.299999952;2;1;1;38;1
739;2527;83;83;109;79;24;28;10;26;100;82;18;133;1.33;12;0;12;0;100;3907;39;427;4.27;255;682;525;121;36;10432;10432;0;0;50;50;1;0;0;12.19999981;12.19999981;27.10000038;27.10000038;50;1;1;286;1
743;189;17;25;58;3;2;3;0;2;100;97;3;263;2.63;0;0;0;0;100;41;0;130;1.3;281;264;217;36;11;1258;1258;5;5;36;36;4;0;0;12.69999981;12.69999981;16.29999924;16.29999924;41;1;1;25;4
750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;29346;293;880;8.8;264;581;391;160;30;12472;12472;0;0;178;178;1;10;10;5;5;55.90000153;55.90000153;178;1;1;4521;1
903;57;0;1;0;15;0;0;9;1;23;22;1;135;5.8696;22;0;22;0;65;1419;22;131;2.0154;153;75;6;14;55;11459;11459;46;46;44;44;4;0;0;5.300000191;5.300000191;140.5;140.5;90;1;1;383;4
988;82;1;8;0;13;1;0;6;4;9;5;4;14;1.5556;0;0;0;0;31;3220;104;146;4.7097;31;89;79;6;4;168;168;0;0;15;15;1;0;0;8.199999809;8.199999809;16.5;16.5;15;1;1;216;1
1147;0;0;1;0;0;0;0;0;1;15;10;5;53;3.5333;11;1;9;0;21;9224;439;540;25.7143;49;33;1;19;13;15163;15163;285;285;193;193;4;25;25;1.700000048;1.700000048;20.5;20.5;478;1;1;1351;4
